DATE,YEAR,LOCATION,OPERATOR,AIRCRAFT_TYPE,TOTAL_FATALITIES,PASSENGER_FATALITIES,CREW_FATALITIES
11/07/1945,1945,"Near Grants, New Mexico",National Skyway Freight Co.,Budd RB-1 Conestoga,1,0,1
11/09/1945,1945,"Near Boccadi, Italy",Military - U.S. Army Air Forces,Douglas C-47A-DL,24,20,4
11/11/1945,1945,"Near Castel, Libya",Military - UK Royal Air Force,Short Stirling,29,22,7
11/11/1945,1945,"Near Picinisco, Italy",Military - U.S. Army Air Forces,Boeing B-17G,20,16,4
11/13/1945,1945,"Near Tacloban, Philippines",Australian National Airways,Douglas C-48,16,13,3
11/15/1945,1945,Near Jacquinot Bay  New Guinea,Military - Royal Australian Air Force,Douglas C-47 Dakota-DK,28,25,3
11/22/1945,1945,"White's Farm, England",Military - UK Royal Air Force,Consolidated LB-30A Liberator,27,22,5
12/03/1945,1945,"Near Rochefort , France",Military - UK Royal Air Force,Consolidated LB-30A Liberator,28,23,5
12/05/1945,1945,Off the Florida coast,Military - U.S. Navy,Five Grumman TBM Avengers,14,0,14
12/08/1945,1945,"Near Billings, Montana",Military - U.S. Army Air Forces,Douglas C-47,17,15,2
12/18/1945,1945,"Voksenkollen, Norway",Military - UK Royal Air Force,Douglas C-47B,17,13,4
12/25/1945,1945,"Bangui, French Equatorial Africa",Air France,Lockheed 18 Lodestar,8,5,3
12/25/1945,1945,"Near Dudinka, Russia",Polyarnya Aviatsiya,Douglas DC-3,10,6,4
12/30/1945,1945,"New York City, New York",Eastern Air Lines,Douglas DC-3,1,1,0
01/06/1946,1946,"Birmingham, Alabama",Pennsylvania Central Airlines,Douglas DC-3,3,0,3
01/14/1946,1946,"Near Netrubezh, Russia",Aeroflot,Lisunov Li-2,22,17,5
01/15/1946,1946,"Marseilles, France",Military - UK Royal Air Force,Douglas C-47 Dakota,23,19,4
01/18/1946,1946,"Cheshire, Connecticut",Eastern Air Lines,Douglas DC-3-201E,17,14,3
01/19/1946,1946,"Crowsnest Pass, Alberta, Canada",Mililtary - Royal Canadian Air Force,Douglas DC-3 Dakota,7,0,7
01/31/1946,1946,"Mt. Elk, Wyoming",United Air Lines,Douglas DC-3-194H,21,18,3
02/05/1946,1946,"Negros, Philippines",Military - U.S. Army Air Forces,Douglas C-47,20,16,4
03/03/1946,1946,"Live Oak Springs, California",American Airlines,Douglas DC-3-227B,27,24,3
03/05/1946,1946,"Near Prague, Czechoslovakia",Ceskoslovenske Aerolinie,Junkers JU-52/3m,12,10,2
03/10/1946,1946,"Off Hobart, Tasmania",Australian National Airways,Douglas DC-3 (C-47DL),25,21,4
03/19/1946,1946,"Hobart Mills, California",Military - U.S. Army Air Forces,Douglas C-47B,26,23,3
03/23/1946,1946,"Off Ceylon, Cocos Islands, Indian Ocean",British Overseas Airways /Qantas,Avro 691 Lancastrian 1,10,5,5
04/01/1946,1946,"near Craigavad, Northern Ireland",Railway Air Services Ltd.,De Havilland 89A Dragon Rapide,6,4,2
04/05/1946,1946,"Rabat, Malta",Military - Royal British Navy,Vickers Wellington bomber,4,0,4
04/22/1946,1946,"La Liberiad, Nicaragua",TACA,Lockheed 14 Super Electra,20,17,3
05/16/1946,1946,"Richmond, Virginia",Viking Air Transport,Douglas DC-3,27,25,2
05/22/1946,1946,"Oslo, Norway",DNL Norwegian Air Lines,Junkers JU-52/3m,13,10,3
06/01/1946,1946,"Off Amalfi, Italy",Military - U.S. Army Air Forces,Douglas C-54-DO (DC-4),30,26,4
06/09/1946,1946,"Taboga Island, Panama",Military - U.S. Army Air Forces,Douglas C-54D-DC (DC-4),23,17,6
06/09/1946,1946,"Near Abeokuta, Nigeria",Military - UK Royal Air Force,Douglas C-47 Dakota,18,12,6
06/29/1946,1946,"Pau, France",Air France,Junkers Ju-52/3m,2,0,2
07/09/1946,1946,"Holyoke, Massachusetts",Military - U.S. Army Air Forces,Boeing B17G,25,21,4
07/11/1946,1946,"Reading, Pennsylvania",Trans Continental and Western Air,Lockheed L-049 Constellation,5,0,5
07/13/1946,1946,"Tsinan, China",Central Air Transport,Curtiss C-46,13,11,2
07/17/1946,1946,"Cuenca, Ecuador",ANDESA,Curtiss C-46D-10-CU,30,27,3
07/18/1946,1946,"Goodland, Kansas",Military - U.S. Army Air Corps,Douglas C-47,13,10,3
07/25/1946,1946,"Bassein, Burma",Military - UK Royal Air Force,Douglas C-47 Dakota,22,18,4
08/07/1946,1946,"Oslo, Norway",British European Airways,Douglas C-47A-10-DK,3,0,3
08/09/1946,1946,"Lakehurst, New Jersey",Atlantic Central Airlines,Lockheed 18-56 Lodestar,4,2,2
08/14/1946,1946,"Malta-Luqa, Malta",BOAC,Douglas C-47A,1,0,1
08/20/1946,1946,"Rouen, France",British Overseas Airways,Avro 691 Lancastrian 1,8,0,8
08/21/1946,1946,"Moline, Illinois",Trans Luxury Airlines,Douglas C-47-DL,2,0,2
08/31/1946,1946,"Near Prince Rupert, British Columbia, Canada",Queen Charlotte Airlines,Supermarine Stranraer (flying boat),7,3,4
09/03/1946,1946,"Holtug, Denmark",Air France,Douglas DC-3 (C-53D-DO),22,17,5
09/04/1946,1946,"Le Bourget, France",Air France,Douglas DC-3,20,18,2
09/05/1946,1946,"Elko, Nevada",Trans-Luxury Airlines,Douglas DC-3 (C-47-A5-DL),21,18,3
09/07/1946,1946,"Bathurst, Gambia",British South American Airways,Avro 685 York I,24,20,4
09/07/1946,1946,"Nome, Alaska",Mt. McKinley Airfreight,Douglas C-47A,4,2,2
09/17/1946,1946,"Brussels, Belgium",Sabena,Douglas C-47-DL,1,0,1
09/18/1946,1946,"Near Gander, Newfoundland",Sabena,Douglas DC-4-1009,27,21,6
09/19/1946,1946,"Near Tripoli, Libya",Military - UK Royal Air Force,Avro Lancaster,25,19,6
09/20/1946,1946,"Lochi Mountain, China",China National Aviation Corporation,Curtiss-Wright C-46,28,25,3
09/25/1946,1946,Near Hong Kong International Airport,Military - UK Royal Air Force,Douglas C-47B-25-DK,19,14,5
09/27/1946,1946,"Near Milngavie, Stirlingshire, Scotland",Railway Air Services Ltd.,De Havilland 89A Dragon Rapide,7,5,2
09/27/1946,1946,"Rio Doce, Brazil",Panair do Brasil,Douglas DC-3A-228D,25,22,3
10/03/1946,1946,"Stephenville, Newfoundland",American Overseas Airlines,Douglas C-54E-5-DO,39,31,8
10/06/1946,1946,"Off Penang, Malaya",Military - UK Royal Air Force,Avro 685 York I,21,15,6
10/07/1946,1946,"Apeldoorn, The Netherlands",Military - Royal Netherlands Naval Air Service,Fairey Firefly MK1,1,0,1
10/08/1946,1946,"Cheyenne, Wyoming",United Air Lines,Douglas DC-4,2,2,0
10/10/1946,1946,"Near Sefrou, Morocco",Air Ocean,Junkers Ju-52/3m,16,11,5
10/17/1946,1946,"Laramie, Wyoming",National Air Transport Services,Douglas DC-3,13,10,3
10/23/1946,1946,"Gebel Kalamoun, Egypt",Socotra,Junkers JU-52/3m,1,1,0
11/01/1946,1946,"St Leger-la-Montagne, France",CTA Languedoc Roussillon,AAC-1 Toucan,23,20,3
11/11/1946,1946,"Cleveland, Ohio",United Air Lines,Douglas DC-3 (C-53D-DO),2,0,2
11/13/1946,1946,"Lebec, California",Western Airlines,Douglas C-53D-DO (DC-3),11,8,3
11/13/1946,1946,"Near Cofre de Perote, Mexico",Empressa Commun. Aereas de Veracruz,Douglas DC-3,15,12,3
11/14/1946,1946,"Amsterdam, Netherlands",KLM Royal Dutch Airlines,Douglas C-47A-90 DL (DC-3),26,21,5
11/16/1946,1946,North Pacific Ocean,Military - U.S. Army Air Forces,Douglas C-47,23,15,8
11/26/1946,1946,"San Jose, Costa Rica",Lineas Aereas Costarricenses  LACSA,Douglas DC-3 (C-47A-90-DL),22,20,2
11/30/1946,1946,"El Palomar, Argentina",Military - Fuerza Aerea Argentina,Vickers 620 Viking 1,5,2,3
12/10/1946,1946,"Near Osaka, Japan",Military - U.S. Army Air Forces,Curtiss-Wright C-46F-CU,24,19,5
12/10/1946,1946,"Toledo, Washington",Military - U.S. Marine Corps,Curtiss-Wright R5C-1,32,29,3
12/14/1946,1946,"Mt. Banahaur, Philippines",Far Eastern Air Transport,Douglas DC-3 (C-47-B-1-DK),12,9,3
12/17/1946,1946,"Caribbean, Atlantic Ocean",Winged Cargo Inc.,Douglas C-47A,7,5,2
12/23/1946,1946,"Near Rio de Janeiro, Brazil",FAMA (Argentina),Avro  685 York I,21,15,6
12/24/1946,1946,"Near San Diego, California",Western Airlines,Douglas DC-3 ( C-53D-DO),12,9,3
12/25/1946,1946,"Near Wusong, Jiangsu, China",CNAC,Curtiss C-47,13,10,3
12/25/1946,1946,"Near Shanghai, China",CNAC,Douglas DC-3,20,17,3
12/25/1946,1946,"Shanghai, China",CATA,Douglas C-47,11,7,4
12/28/1946,1946,"Walshville, Illinois",Kansas City Southern Skyways,Douglas C-47A,2,0,2
12/28/1946,1946,"Near Shannon, Ireland",Trans Continental and Western Air,Lockheed 049 Consellation,13,9,4
12/28/1946,1946,"Michigan City, Indiana",American Airlines,Douglas DC-3 (C-50A-DO),2,0,2
01/03/1947,1947,"Sao Paulo, Brazil",Panair do Brasil,Sikorsky S-43B (flying boat),11,8,3
01/05/1947,1947,"Tsingtao, China",China National Aviation Corporation,Curtis C-46,43,38,5
01/05/1947,1947,"Carmel, New Jersey",Nationwide Air Transport,Douglas DC-3,3,2,1
01/11/1947,1947,"Near Lympne, England",British Overseas Airways,Douglas C-47A-1-DK,8,4,4
01/11/1947,1947,"Off Laoag, China",Far Eastern Air Transport,Douglas DC-4 (C-54A-DO),7,7,0
01/12/1947,1947,"Near Galax, Virginia",Eastern Air Lines,Douglas DC-3,18,15,3
01/14/1947,1947,"Near Puebla, Mexico",Military - Mexican Air Force,Lockheed C-60 Lodestar,21,17,4
01/22/1947,1947,"Puesto Araujo, Colombia",Avianca,Douglas DC-3 ( C-47-DO),17,13,4
01/25/1947,1947,"Croydon, Surrey, England",Spencer Airways / Ceskoslovenske Aerolinie,Douglas C-47 / Douglas DC-3,12,11,1
01/25/1947,1947,"Chongqing, China",China National Aviation Corporation,Douglas DC-3,19,16,3
01/25/1947,1947,Hong Kong,Philippine Air Lines,Douglas C-47A,4,0,4
01/26/1947,1947,"Copenhagen, Denmark",KLM Royal Dutch Airlines,Douglas C- C47A-30DK,22,18,4
01/28/1947,1947,"Near Hankow, China",China National Aviation Corporation,Curtiss C-46,25,23,2
02/01/1947,1947,"Near Lisbon, Portugal",Air France,Douglas DC-3C,19,14,5
02/05/1947,1947,"Harrington, Delaware",International Air Freight,Douglas DC-3,1,0,1
02/06/1947,1947,"Pedro Bernardo, Spain",Aerovias Cuba International,Douglas C-54B-15-DO,11,8,2
02/14/1947,1947,"Denver, Colorado",Slick Airways,Curtiss C-46E,2,0,2
02/15/1947,1947,"Near Bogota, Colombia",Avianca,Douglas DC-4,53,49,4
02/15/1947,1947,"Off Terracina, Italy",Military - Corrieri Aerei Militari,Savoia-Marchetti SM-95,16,10,6
02/26/1947,1947,"China Sea, Pacific Ocean",Military - UK Royal Air Force,Douglas C-47B,12,9,3
03/05/1947,1947,"Near Georgia, USSR",Aeroflot,Doublas C-47,23,19,4
03/08/1947,1947,"L'isola di Ischia, Italy",Military - UK Royal Air Force,Douglas C-47B,13,10,3
03/08/1947,1947,"Cordillera, Colombia",VIARCO,Douglas C-47-DL,9,5,4
03/14/1947,1947,"Mt. Moucherolles, France",Air France,Douglas DC-3 (C-47A-90-DL),23,18,5
03/17/1947,1947,"Near Medellin, Colombia",TACA,Lockheed 18 Lodestar,8,5,3
03/18/1947,1947,"Negombo, Sri Lanka",Military - UK Royal Air Force,Avro York C1,11,7,4
04/08/1947,1947,"Near Caracas, Venezuela",Linea Aeropostal Venezolana,Douglas C-47A,27,24,3
04/13/1947,1947,"Off Dakar, Senegal",British South American Airways,Avro 685 York I,6,6,0
04/22/1947,1947,"Columbus, Georgia",Delta Air Lines,Douglas DC-3 (C-47DL) /Vultee BT-13,10,8,2
04/28/1947,1947,"Near Vancouver, British Columbia, Canada",Trans Canada Air Lines,Lockheed 18 Lodestar,15,12,3
05/04/1947,1947,"Near Nicoya, Guanacaste, Costa Rica",TACA,Lockheed 18 Lodestar,11,9,2
05/11/1947,1947,"Delaware Bay, New Jersey",Trans Continental and Western Air,Lockheed L-049 Constellation,4,0,4
05/16/1947,1947,"Near Khabarovsk, Russia",Aeroflot,Douglas DC-47,22,17,5
05/29/1947,1947,"La Guardia Airport, Queens, New York",United Air Lines,Douglas C-54B,43,41,2
05/29/1947,1947,"Atsugi, Japan",Military - U.S. Army Air Forces,Douglas C-54D-DC (DC-4),40,33,7
05/29/1947,1947,"Hjedinsfjordur, Iceland",Flugefelag,Douglas DC-3,25,21,4
05/30/1947,1947,"Port Deposit, Maryland",Eastern Air Lines,Douglas C-54B-15-DO,53,49,4
06/04/1947,1947,"Near Gemenos, France",Air France,Junkers Ju-52,2,0,2
06/11/1947,1947,"Near Natal, Brazil",Flota Aerea Mercante Argentina,Avro 691 Lancastrian,5,3,2
06/13/1947,1947,"Leesburg, Virginia",Pennsylvania Central Airlines,Douglas DC-4 (C-54-DO),50,47,3
06/19/1947,1947,"Al Mayadin, Syria",Pan American World Airways,Lockheed 049-46-21 Constellation,14,7,7
06/21/1947,1947,"Black Sea, Gulf of Karkinitsky",Aeroflot,Li-2,8,6,2
07/01/1947,1947,"Near Eaeka, French Cameroons",Air France,Junkers JU-52/3m,13,10,3
07/13/1947,1947,"Melbourne, Florida",Burke Air Transport,Douglas DC-3,14,12,2
07/16/1947,1947,"Az-Zubair, Iran",British Overseas Airways,Avro 685 York,6,0,6
07/25/1947,1947,"Moron, Argentina",Flota Aerea Mercante Argentina,Avro 685 York I,2,0,2
07/31/1947,1947,"Near Yumen, China",Military - Chinese Air Force,Douglas C-47,26,22,4
08/02/1947,1947,"Andes, Argentina",British South American Airways,Avro 691 Lancastrian 3,11,6,5
08/06/1947,1947,North Pacific Ocean,Military - U.S. Navy,Consolidated PBY-5A Catalina,20,15,5
08/08/1947,1947,"New York, New York",American Airlines,Douglas DC-3C,3,1,2
08/09/1947,1947,"Malmo, Sweden",AB Aerotransport,Douglas DC-3F,1,0,1
08/13/1947,1947,"Bucharest, Romania",Transporturile Aeriene Romano-Sovietice,Lisunov Li-2,3,3,0
08/21/1947,1947,"Hanksville, Utah",Slick Airways,Curtiss C-46E,3,1,2
08/23/1947,1947,"Bahrain, Persian Gulf",British Overseas Airways,Short Sandringham 5 (flying boat),10,7,3
08/28/1947,1947,"Harsiad, Norway",Norwegian Airlines,Short Sandringham (flying boat),35,27,8
10/08/1947,1947,"Near El Paso, Texas",American Airlines,Douglas DC-4,0,0,0
10/14/1947,1947,"Ocean, 800 miles east of Newfoundland",American International Airways,Boeing 314A,0,0,0
10/16/1947,1947,"Off Cartegena, Spain",Societe Aerienne du Littoral,Bristol 170 Freighter I,41,38,4
10/16/1947,1947,"Sylva, North Carolina",Stratofreight,Douglas DC-3,3,1,2
10/24/1947,1947,"Bryce Canyon, Utah",United Air Lines,Douglas DC-6,53,48,5
10/26/1947,1947,"Near Mt. Hymettus, Greece",AB Aerotransport,Douglas DC-4-1009,44,36,8
10/26/1947,1947,"Annette Island, Alaska",Pan American World Airways,Douglas DC-4A,18,13,5
10/31/1947,1947,"Near Srinagar, India",Military - Indian Air Force,Douglas C-47B,25,22,3
11/02/1947,1947,"Off Barrio Rizal, Philippines",Philippine Air Express,Douglas DC-3,5,3,2
11/13/1947,1947,"Near Bouchox, France",Societe Auxiliare de Navigation Aerienne,Junkers Ju-52/3m,2,0,2
11/18/1947,1947,"Newcastle, Delaware",Trans Continental and Western Air,Lockheed L-049-46-26 Constellation,5,0,5
11/18/1947,1947,"Ravello, Italy",Trafik-Turist-Transportflyg,Bristol 170 Freighter XI,20,16,4
11/21/1947,1947,"Phouznicie, Romania",TARS,Lisunov Li-2,13,8,5
11/27/1947,1947,"Yakutat, Alaska",Columbia Air Cargo,Douglas DC-3C,13,11,2
11/27/1947,1947,"Montenegrin Mountains, Yugoslavia",JAT Yugoslav Airlines,Lisunov LI-2,22,19,3
11/28/1947,1947,"Near Trappa, Italy",Military - U.S. Air Force,Douglas C-47B,20,15,5
11/30/1947,1947,"Seattle, Washington",Alaska Airlines,Douglas C-54A,8,7,1
12/10/1947,1947,"Near Goose Bay, Labrador",Military - U.S. Air Force,Douglas C-54D-DC (DC-4),23,22,1
12/11/1947,1947,"Near Memphis, Tennessee",Military - U.S. Air Force,Douglas C-47-DK,20,16,4
12/18/1947,1947,"Krasnoyarsk, Russia",Aeroflot,Ilyushin IL-12,9,3,4
12/27/1947,1947,"Korangi Creek, India",Air India,Douglas DC-3 (C-47),23,19,4
12/28/1947,1947,"Leon, Mexico",Servicio Aereo Panini,Douglas DC-2-172,5,3,2
01/06/1948,1948,"Paris, France",Air France,Douglas DC-3D,16,11,5
01/06/1948,1948,"Ruislip, England",British European Airways,Vickers 610 Viking 1B,1,0,1
01/07/1948,1948,"Near Savannah, Georgia",Coastal Air Lines,Douglas DC-3,18,17,1
01/08/1948,1948,"Near Palestro, Algeria",Transport Comp. Algerienne de T.A.,Douglas DC-3,9,7,2
01/11/1948,1948,"Ciudad Havajillo, Dominican Republic",Dominicana,Douglas DC-3,32,29,3
01/13/1948,1948,"Oxon Hill, Maryland",Eastern Air Lines,Douglas DC-3-201F,5,3,2
01/20/1948,1948,"Near Mukden, China",China National Aviation Corporation,Curtiss C-46,11,11,0
01/28/1948,1948,"Diablo Mts., California",Airline Transport Carriers,Douglas DC-3 (C-47B-DK),32,29,3
01/30/1948,1948,"Atlantic Ocean, NE of Bermuda",British South American Airways,Avro 688 Tudor I,31,25,6
02/07/1948,1948,"Off Jacksonville, Florida",Eastern Air Lines,Lockheed L-649 Constellation,1,0,1
02/10/1948,1948,"Near Padalarang, Indonesia",KLM Royal Dutch Airlines,Douglas DC-3,19,15,4
02/12/1948,1948,"Ubrichstein, Germany",Det Danske Luftfartselskab,Douglas DC-3,12,8,4
02/20/1948,1948,"Collesalvetti,  Italy",Società Aerea Teseo,Douglas C-47-DL,7,4,3
02/21/1948,1948,"Off St. Marcouf, France",Latecoere Airlines,Latecoere 631 (flying boat),14,7,7
02/23/1948,1948,"Davao, Philippines",Commercial Airways,Douglas DC-3,12,9,3
02/25/1948,1948,"Columbus, Ohio",Bruning Aviation,Douglas C-47A,2,0,2
02/27/1948,1948,"Near Belem, Brazil",Military - Brazilian Air Force,Douglas C-47,23,17,6
03/02/1948,1948,"Off Perpignan, France",Societe de Transports Aeriens,Junkers Ju-52/3m,4,0,4
03/02/1948,1948,"Heathrow Airport, London, England",Sabena,Douglas DC-3,20,17,3
03/07/1948,1948,"Near Skalafell, Iceland",Loftleidir Icelandic Airlines,Avro Anson,4,2,2
03/10/1948,1948,"Chicago, Illinois",Delta Air Lines,Douglas DC-4,12,8,4
03/12/1948,1948,"Mt. Sanford, Alaska",Northwest Orient Airlines,Douglas DC-4 (C-54G-1-DO),30,24,6
03/13/1948,1948,"Sierra Cristais, Brazil",Cruzeiro do Sul,Douglas DC-3,6,3,3
03/15/1948,1948,"Villa Pinzon, Colombia",Agencia Interamericana de Aviada,Douglas DC-3 (C47-DL),14,10,4
03/27/1948,1948,"Monte Cardo, Corsica, France",Indian National Airways,Vickers 604 Viking 1B,19,15,4
04/05/1948,1948,"Near Berlin, Germany",British European Airways / Military - Soviet Air Force,Vickers Viking 1B & Soviet YAK-3 fighter,14,10,4
04/15/1948,1948,"Shannon, Ireland",Pan American World Airways,Lockheed L-049-46 Constellation,30,20,10
04/18/1948,1948,Territory of New Guinea,New Guinea Air Traders,Lockheed Hudson IIIA,37,33,4
04/24/1948,1948,Near Irkutsk Russia,Aeroflot,Lisnov Li-2,28,24,4
05/13/1948,1948,"Mount Coron, France",Skyways of London,De Havilland Dove 1,4,2,2
05/13/1948,1948,"Near Magazini, Belgian Congo (Zaire)",Sabena,Douglas DC-4-1009,31,24,7
05/15/1948,1948,"Vrede, South Africa",Mercury Aviation,Douglas DC-3-455,13,8,5
05/16/1948,1948,"Columbus, Ohio",Slick Airways,Curtiss C-46E,2,0,2
05/20/1948,1948,"Near Bovingdon, England",Air Transport Charter,Douglas C-47A,3,0,3
05/22/1948,1948,"Khabarovsk, Russia",Aeroflot,Douglas C-47,8,4,4
05/25/1948,1948,"Albacete, Spain",Alpha Airways,Handley Page Halifax C-8,4,0,4
06/10/1948,1948,Isle of Man,Hargreaves Airways,De Havilland DH-89A Dragon Rapide,6,5,1
06/17/1948,1948,"Mount Carmel, Pennsylvania",United Air Lines,Douglas DC-6,43,39,4
06/17/1948,1948,"Over the Pearl River, China",Cathy Pacific,PBY Catalina,25,22,3
06/26/1948,1948,"Maiquetia, Venezuela",Linea Aeropostal Venezolana,Douglas DC-3,1,0,1
07/01/1948,1948,"Keerbergen, Belgium",Avio Linee Italiane,Fiat G.212CP,8,4,4
07/04/1948,1948,"Northolt, Middlesex, England",Scandinavian Airlines (SAS),Douglas DC-6 / RAF York,39,26,13
07/07/1948,1948,"Djiring, French Indo-China",Aigle Azur,Douglas DC-3,16,13,3
07/14/1948,1948,"Belem, Brazil",Aerovias Brasil,Douglas C-47A,5,2,3
07/16/1948,1948,Pacific Ocean between Hong Kong and Macao,Cathay Pacific Airways,Consolidated OA-10 Catalina,25,22,3
07/24/1948,1948,"Cap-des-Rosiers, Quebec, Canada",Rimouski Airlines,Douglas DC-3,29,27,2
07/29/1948,1948,"Tsingtao, China",Civil Air Transport,Curtiss C-46D-20-CU,19,16,3
07/29/1948,1948,"Buenos Aires, Argentina",Aerolineas Flecha Austral,Short Sandringham 2 (flying boat),18,16,2
08/01/1948,1948,"Karachi, Pakistan",Onzeair,Avro 691 Lancastrian,4,0,4
08/01/1948,1948,"1,200 miles off Dakar, Atlantic Ocean",Air France,Latecoere 631 (flying boat),52,40,12
08/09/1948,1948,"Port Underwood, New Zealand",New Zealand National Airways,Douglas C-47B,2,0,2
08/20/1948,1948,"La Guaira, Venezuela",Avensa,Douglas C-47A,3,0,3
08/29/1948,1948,"Near Winona, Minnesota",Northwest Orient Airlines,Martin 202,37,33,4
08/31/1948,1948,"Near Elizabethville, Belgium Congo",Sabena,Douglas DC-3 (Douglas C-47A-10-DK),13,10,3
09/02/1948,1948,"Near Quirindi, Australia",Australian National Airways,Douglas DC-3,13,10,3
09/30/1948,1948," Balkhash, Kazakhstan",Aeroflot,Lisunov LI-2,15,11,4
10/02/1948,1948,"Near Trondheim, Norway",Norwegian Airlines,Short Sandringham 6 (flying boat),19,16,3
10/12/1948,1948,"Near Yevlakh, Azerbaijan, USSR",Aeroflot,Ilyushin Il12,10,4,6
10/21/1948,1948,"Prestwick Airport, Scotland",KLM Royal Dutch Airlines,Lockheed 049-46-25 Constellation,40,30,10
10/23/1948,1948,"Mt. Ruapehu, New Zealand",New Zealand National Airways,Lockheed 10A Electra,13,10,3
10/25/1948,1948,"Georgian SSR, USSR",Aerflot,Lisunov Li-2,18,14,4
10/27/1948,1948,"Near Edmonton, Alberta, Canada",Northwest Orient Airlines,Douglas C-54A,2,0,2
11/03/1948,1948,"Near Glossop, England",Military - U.S. Air Force,Boeing B-29A Superfortress,13,0,13
11/04/1948,1948,"Cape Spencer, Alaska",Pacific Alaska Air Freight,Douglas DC-3,17,15,2
11/08/1948,1948,"Mt. Macedon, Australia",Australian National Airways,Douglas DC-3,3,0,3
11/11/1948,1948,"Liverpool, England",Mannin Airways,De Havilland DH-89A Dragon Rapide,7,5,2
11/22/1948,1948,"Near Ryzhovo, Russia",Aeroflot,Lisunov Li-2,23,18,5
11/26/1948,1948,"Vehari, Pakistan",Pakistan Airways,Douglas DC-3,21,16,5
12/05/1948,1948,"Kiangwan, China",Central Air Transport,Curtiss C-46,9,7,2
12/06/1948,1948,"Milan, Italy",Avio Linee Italiane,Douglas C-47,7,6,1
12/12/1948,1948,"Taipei, Taiwan",China National Aviation Corporation,Douglas DC-3,2,0,2
12/15/1948,1948,"Near Bogata, Colombia",LANSA,Douglas C-47,30,27,3
12/21/1948,1948,"Basalt Island, Hong Kong",China National Aviation Corporation,Douglas C-54B-5-DO,33,29,4
12/21/1948,1948,"Near Pilos, Greece",Ceskoslovenske Aerolinie,Douglas DC-3,24,19,5
12/23/1948,1948,"Near Madrid, Spain",Iberia Airlines,Douglas DC-3 (C-47-DL),27,24,3
12/28/1948,1948,"Off San Juan, Puerto Rico",Airborne Transport,Douglas DC-3DST,32,29,3
12/31/1948,1948,"Mt. Argentari, Italy",Pan African Air Charter,Douglas DC-3,13,8,5
01/02/1949,1949,"Seattle, Washington",Seattle Air Charter,Douglas DC-3 (C-47A-DL),14,11,3
01/05/1949,1949,"Caravelas Bay, Brazil",British South American Airways,Avro 685 York I,3,3,0
01/06/1949,1949,"Brandywine, Maryland",Coastal Cargo,Douglas C-47A,2,0,2
01/11/1949,1949,"Near Pelotas, Brazil",Viacao Aerea Gaucha S.A.,Lockheed 18 Lodestar,12,8,4
01/16/1949,1949,"Near Srinagar, India",Dalmia Jain Airways,Douglas DC-3,13,4,9
01/17/1949,1949,"Atlantic Ocean, off Bermuda",British South American Airways,Avro 688 Tudor 4B,20,13,7
01/17/1949,1949,"Near Succoth Glen, Lochgoilhead, Scotland",Military - U.S. Air Force,Boeing B-29A Superfortress,20,16,4
01/20/1949,1949,"Homer, Alaska",Alaska Airlines,Douglas DC-3C,5,3,2
01/30/1949,1949,"Port Washington, New York",Pan American World Airways,Lockheed L-749 / Cessna 140,2,1,1
02/04/1949,1949,"Castel Benito, Libya",Skyways of London,Douglas C-54A-1-DO Skymaster,1,0,1
02/05/1949,1949,"Buenaventura Bay, Colombia",Avianca,Consolidated PBY-5A Catalina,3,1,2
02/08/1949,1949,"Off Copenhagen, Denmark",Scandinavian Airlines (SAS),Vickers 628 Viking 1B,27,23,4
02/10/1949,1949,"Near Huanuco, Peru",Faucett,Douglas DC-3,16,13,3
02/19/1949,1949,"Near Coventry, Warks, England",British European Airways / Military - British,Douglas DC-3 / Avro Anson,14,6,8
02/24/1949,1949,"Near Cuzco, Peru",TAM (Peru),Douglas C-47,22,20,2
02/24/1949,1949,"Braemar Resevoir, Hong Kong",Cathay Pacific Airways,Douglas DC-3,23,19,4
03/10/1949,1949,"Coolangatta, Australia",Queensland Airlines,Lockheed 18 Lodestar,22,19,3
03/15/1949,1949,"Berlin, Germany",Skyways,Avro 685 York I,3,0,3
03/18/1949,1949,"Near Waikanae, New Zealand",New Zealand National Airways,Lockheed 18 Lodestar,15,13,2
04/29/1949,1949,"Near Mironovo, Russia",Aeroflot,Lisunov Li-2,14,11,3
05/04/1949,1949,"Superga, Italy",Avio Linee Italiane,FIAT G-212CP,31,27,4
05/04/1949,1949,"Near Portland, Dorset, England",Bristop Aeroplane Company,Bristol 170 Freighter 31 Mark II,7,0,7
05/07/1949,1949,"Sibuyan Sea, off the Philippine island of Elalat",Philippine Air Lines,Douglas DC-3,13,10,3
05/13/1949,1949,"Near  Novosibirsk, Russia",Aeroflot,Ilyushin IL-12,25,20,5
06/06/1949,1949,"Malahasa Attica, Greece",Tech - Aeronautical Explotiation,Douglas DC-3,22,18,4
06/07/1949,1949,"Near Florianpolis, Brazil",Military - Brazilian Air Force,Douglas C-47B,27,21,6
06/07/1949,1949,"San Juan, Puerto Rico",Strato Freight,Curtiss C-46D-5-CU,53,52,1
06/23/1949,1949,"Off Bari, Italy",KLM Royal Dutch Airlines,Lockheed 749-79-33 Constellation,33,23,10
07/02/1949,1949,"Near Guildford, Australia",Mac Roberston-Miller Airlines,Douglas C-47A-20-DL,18,14,4
07/12/1949,1949,"Chatsworth, California",Standard Airlines,Curtiss C-46E-1-CS,35,32,3
