DATE,YEAR,LOCATION,OPERATOR,AIRCRAFT_TYPE,TOTAL_FATALITIES,PASSENGER_FATALITIES,CREW_FATALITIES
07/17/1996,1996,"Off East Moriches, New York",Trans World Airlines,Boeing B-747-131,230,212,18
07/20/1996,1996,"Russian Mission, Alaska",Northern Air Cargo,Douglas DC-6A,4,1,3
07/24/1996,1996,"Near Mergui, Manmar",Myanmar Airways,Fokker F-27 Friendship 600,8,8,0
08/12/1996,1996,"Markham Bay, Canada",First Air,De Havilland Canada DHC-6 Twin Otter 300,2,0,2
08/14/1996,1996,"Near Bronson Creek, British Columbia, Canada",Air North,Douglas DC-4,1,0,1
08/17/1996,1996,"Near Jackson Hole, Wyoming",Military - U.S. Air Force,Lockheed C-130H Hercules,9,1,8
08/18/1996,1996," Near Alliford Bay, British Columbia, Canada2",Harbour Air,De Havilland Canada DHC-3 Turbo Otter,3,2,1
08/19/1996,1996,"Belgrade, Yugosalvia",Spair Air Transport,Ilyushin IL-76T,12,2,10
08/29/1996,1996,"Near Longyearbyen, Norway",Vnukovo Airlines,Tupolev TU-154M,141,129,12
09/25/1996,1996,"Waddenzee, Netherlands",Dutch Dakota Association,Douglas DC-3C,32,26,6
10/02/1996,1996,"Off Pasamayo, Peru",Aeroperu,Boeing B-757-200,70,61,9
10/03/1996,1996,"Kahemba, Congo",Malu Aviation,De Havilland Canada DHC-6 Twin Otter 200,6,4,2
10/06/1996,1996,"Lukapa, Angola",Savanair,Antonov 12B,6,5,1
10/08/1996,1996,"San Francesco al Campo, Italy",Aeroflot,Antonov An-124,2,0,2
10/22/1996,1996,"Manta, Ecuador",Million Air,Boeing B-707-323C,4,0,4
10/26/1996,1996,"Khanty, Russia",Tyumen Aviatrans,Yakovlev YAK-40,5,3,2
10/31/1996,1996,"Sao Paolo, Brazil",TAM (Brazil),Fokker 100,95,89,6
11/01/1996,1996,"Near Tikal, Guatemala",Transported Areos Profesionales - TAPSA,Embraer 110P1 Bandeirante,16,14,2
11/07/1996,1996,"Lagos, Nigeria",Aviation Development Corporation,Boeing B-727-231,143,134,9
